surname,firstname,ln.gross,yob,female,margin,school,party
Frears,John,13.22255898,1936,0,-0.11855147,Public,Labour
Huddart,Joseph,13.18189907,1911,0,-0.065332867,Regular,Labour
Bevins,Reginald,12.4029789,1908,0,0.059918582,Regular,Conservative
Youngson,Robert,8.433170319,1908,0,-0.154781133,Public,Conservative
Scott-Hopkins,James,11.70354748,1921,0,0.027624154,Eton,Conservative
Clapham,Brian,13.14447403,1913,0,-0.094627433,Regular,Labour
Hiley,Joseph,13.42472553,1902,0,0.143344641,Regular,Conservative
Cope,Joyce,12.655159,1921,1,-0.132690296,Regular,Labour
Reid,Alastair,12.00150585,1925,0,-0.251878619,Regular,Labour
Hawkins,Paul,12.59776783,1912,0,0.003643365,Public,Conservative
Hawkins,George,12.09691525,1919,0,-0.102821708,Regular,Conservative
Tresman,John,12.41399479,1926,0,-0.325622708,Regular,Conservative
Lawton,Kenneth,12.67013168,1924,0,-0.138151452,Regular,Conservative
Jonas,George,12.59795475,1928,0,-0.076550297,Regular,Labour
Braine,Bernard,13.18476868,1914,0,0.09267278,Regular,Conservative
Sisson,Douglas,12.41651726,1921,0,-0.074687868,Regular,Conservative
Leavey,Anthony,14.44626427,1915,0,0.066270284,Regular,Conservative
Wilde,Ivor,10.62002277,1921,0,-0.085419446,Regular,Labour
Wallace,William,12.09691525,1912,0,-0.001031145,Regular,Labour
Brown,Roger,12.59795475,1929,0,-0.161202922,Regular,Labour
Davies,Clifford,12.37208652,1910,0,-0.174687743,Regular,Labour
Grant,Alec,13.98940182,1932,0,-0.182944968,Public,Labour
Jones,George,12.09691525,1938,0,-0.142405987,Regular,Labour
Morris,Norman,12.68599701,1913,0,-0.245875746,Regular,Labour
Smith,Kathleen,12.71696854,1929,1,-0.200647727,Regular,Conservative
Smith,Ronald,12.4029789,1937,0,-0.100796334,Regular,Labour
Thompson,Donald,12.55333805,1931,0,-0.159207359,Regular,Conservative
